Rk,player_name,nation,position_1,position_2,Squad,Age,Born,matches_played,starts,minutes_played,90s_played,goals,assists,goal_contributions,non_penalty_goals,penalty_goals,penalty_attempts,yellow_cards,red_cards,expected_goals,expected_non_pen_goals,expected_assists,expected_non_pen_goal_contributions,progressive_carries,progressive_passes,progressive_passes_received
175,Liam Cullen,WAL,MF,FW,Swansea City,25.0,1999.0,42,35,2995,33.3,11,3,14,11,0,0,8,0,8.9,8.9,3.8,12.7,22,74,96
176,Jamie Cumming,ENG,GK,,Oxford United,24.0,1999.0,45,45,4050,45.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
177,Luke Cundle,ENG,MF,FW,Millwall,22.0,2002.0,16,13,985,10.9,1,0,1,1,0,0,2,0,0.8,0.8,0.3,1.1,7,41,41
178,Jesper Daland,NOR,DF,,Cardiff City,24.0,2000.0,20,16,1427,15.9,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.4,5,30,4
179,Owen Dale,ENG,MF,FW,Oxford United,25.0,1998.0,11,4,350,3.9,0,0,0,0,0,0,0,0,0.5,0.5,0.8,1.2,12,9,27
180,Harry Darling,ENG,DF,,Swansea City,24.0,1999.0,39,38,3335,37.1,5,3,8,5,0,0,4,1,4.2,4.2,1.9,6.1,39,137,8
181,Karl Darlow,WAL,GK,,Leeds United,33.0,1990.0,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
182,Jay Dasilva,WAL,DF,,Coventry City,26.0,1998.0,31,20,1807,20.1,0,1,1,0,0,0,2,1,0.2,0.2,1.0,1.2,40,89,91
183,Adam Davies,WAL,GK,,Sheffield Utd,32.0,1992.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
184,Isaak Davies,WAL,FW,MF,Cardiff City,22.0,2001.0,9,3,287,3.2,2,0,2,2,0,0,1,0,1.6,1.6,0.2,1.8,10,1,33
185,Tom Davies,ENG,MF,,Sheffield Utd,26.0,1998.0,13,6,673,7.5,1,1,2,1,0,0,4,0,1.0,1.0,0.3,1.3,13,38,19
186,James Debayo,ENG,DF,,Leeds United,19.0,2005.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
187,Hannes Delcroix,HAI,DF,,Swansea City,25.0,1999.0,12,10,888,9.9,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,40,3
188,Tom Dele-Bashiru,NGA,MF,,Watford,24.0,1999.0,27,25,2064,22.9,4,0,4,1,3,3,0,0,3.8,1.5,0.4,1.8,14,71,19
189,Karamoko Dembélé,ENG,FW,MF,QPR,21.0,2003.0,23,15,1186,13.2,3,4,7,3,0,0,2,0,1.3,1.3,2.7,3.9,26,47,75
190,Siriki Dembélé,CIV,FW,MF,Oxford United,27.0,1996.0,25,15,1371,15.2,2,1,3,2,0,0,2,0,2.5,2.5,2.2,4.7,42,33,68
191,Rav van den Berg,NED,DF,,Middlesbrough,20.0,2004.0,27,23,2128,23.6,0,0,0,0,0,0,4,1,0.4,0.4,0.3,0.7,10,104,6
192,Emmanuel Dennis,NGA,FW,MF,Blackburn,26.0,1997.0,6,1,160,1.8,0,1,1,0,0,0,3,1,0.1,0.1,0.5,0.6,8,11,16
193,Terry Devlin,NIR,DF,MF,Portsmouth,20.0,2003.0,34,13,1562,17.4,0,1,1,0,0,0,2,0,0.3,0.3,0.7,1.1,15,47,33
194,Ousmane Diakité,MLI,MF,DF,West Brom,24.0,2000.0,22,9,860,9.6,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,4,26,8
195,Grady Diangana,COD,FW,MF,West Brom,26.0,1998.0,34,14,1494,16.6,4,3,7,4,0,0,1,0,3.6,3.6,2.3,5.9,38,74,98
196,Robert Dickie,ENG,DF,,Bristol City,28.0,1996.0,36,35,3121,34.7,2,1,3,2,0,0,5,1,2.4,2.4,0.6,3.0,8,95,1
197,Seny Dieng,SEN,GK,,Middlesbrough,29.0,1994.0,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,0,0
198,Anfernee Dijksteel,SUR,DF,,Middlesbrough,27.0,1996.0,33,27,2525,28.1,2,1,3,2,0,0,5,0,0.4,0.4,1.6,2.1,57,117,77
199,Daryl Dike,USA,FW,MF,West Brom,24.0,2000.0,11,1,227,2.5,1,1,2,1,0,0,1,0,0.7,0.7,1.0,1.7,1,4,10
200,Jaden Dixon,ENG,FW,DF,Stoke City,17.0,2007.0,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
201,Elijah Dixon-Bonner,ENG,MF,FW,QPR,23.0,2001.0,3,0,10,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1
202,Lewis Dobbin,ENG,FW,,Norwich City,21.0,2003.0,10,8,640,7.1,2,0,2,2,0,0,1,0,1.1,1.1,0.6,1.7,20,12,58
203,Lewis Dobbin,ENG,FW,MF,West Brom,21.0,2003.0,17,1,340,3.8,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,12,10,25
204,Tyrhys Dolan,ENG,FW,MF,Blackburn,22.0,2001.0,44,40,3175,35.3,7,6,13,6,1,1,12,0,7.2,6.5,4.6,11.0,95,104,221
205,Alfie Doughty,ENG,DF,MF,Luton Town,24.0,1999.0,26,25,2037,22.6,1,4,5,1,0,0,5,0,0.8,0.8,6.6,7.4,64,80,115
206,Mamadou Doumbia,MLI,FW,,Watford,18.0,2006.0,19,12,968,10.8,2,0,2,2,0,0,2,0,2.2,2.2,0.3,2.5,8,7,46
207,Oliver Dovin,SWE,GK,,Coventry City,22.0,2002.0,28,28,2467,27.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
208,Callum Doyle,ENG,DF,,Norwich City,20.0,2003.0,40,38,3440,38.2,1,7,8,1,0,0,11,0,1.5,1.5,3.8,5.3,36,191,62
209,Andre Dozzell,ENG,MF,,Portsmouth,25.0,1999.0,39,32,2817,31.3,2,1,3,2,0,0,11,0,2.5,2.5,1.6,4.1,8,85,33
210,Cody Drameh,ENG,DF,,Hull City,22.0,2001.0,28,17,1649,18.3,1,1,2,1,0,0,2,0,0.4,0.4,1.1,1.6,49,91,47
211,Shane Duffy,IRL,DF,,Norwich City,32.0,1992.0,45,45,4040,44.9,4,0,4,4,0,0,4,0,3.2,3.2,1.5,4.8,16,119,8
212,Jimmy Dunne,IRL,DF,,QPR,26.0,1997.0,45,45,4050,45.0,5,2,7,5,0,0,9,0,4.8,4.8,2.6,7.5,56,130,66
213,Leonard Duru,ENG,DF,,Blackburn,19.0,2005.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
214,Pierre Dwomoh,BEL,MF,,Watford,20.0,2004.0,9,6,530,5.9,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.8,8,20,7
215,Lyndon Dykes,SCO,FW,,QPR,28.0,1995.0,1,0,6,0.1,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0
216,George Earthy,ENG,MF,FW,Bristol City,19.0,2004.0,37,11,1457,16.2,3,1,4,3,0,0,3,0,3.5,3.5,1.0,4.5,50,50,126
217,Malcolm Ebiowei,ENG,MF,,Oxford United,20.0,2003.0,4,0,68,0.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,4,5,7
218,Festy Ebosele,IRL,DF,MF,Watford,21.0,2002.0,18,7,757,8.4,1,1,2,1,0,0,7,0,0.4,0.4,1.7,2.1,30,28,45
219,Josh Eccles,ENG,MF,,Coventry City,24.0,2000.0,39,25,2340,26.0,3,3,6,3,0,0,6,0,2.8,2.8,2.9,5.8,40,143,73
220,George Edmundson,ENG,DF,,Middlesbrough,26.0,1997.0,24,24,2090,23.2,1,0,1,1,0,0,9,0,2.4,2.4,0.1,2.5,17,91,1
221,Joe Edwards,ENG,DF,,Plymouth Argyle,33.0,1990.0,17,12,1136,12.6,1,1,2,1,0,0,4,1,1.1,1.1,0.4,1.5,8,42,22
222,Kyle Edwards,ENG,MF,FW,Oxford United,26.0,1998.0,7,1,199,2.2,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.8,19,10,20
223,Marcus Edwards,ENG,FW,MF,Burnley,25.0,1998.0,14,12,936,10.4,1,1,2,1,0,0,1,0,1.7,1.7,2.2,3.8,49,50,108
224,Ronnie Edwards,ENG,DF,MF,QPR,21.0,2003.0,21,20,1819,20.2,2,0,2,2,0,0,2,0,1.7,1.7,0.2,1.9,17,46,6
225,John Egan,IRL,DF,,Burnley,31.0,1992.0,7,1,165,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0
226,John Egan,IRL,DF,,Hull City,31.0,1992.0,11,8,730,8.1,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.4,0,14,2
227,CJ Egan-Riley,ENG,DF,,Burnley,21.0,2003.0,41,40,3601,40.0,1,1,2,1,0,0,7,1,1.0,1.0,0.6,1.7,26,129,9
228,Callum Elder,AUS,DF,,Derby County,29.0,1995.0,29,24,2149,23.9,0,3,3,0,0,0,8,0,0.4,0.4,3.7,4.1,42,89,87
229,Aidomo Emakhu,IRL,FW,MF,Millwall,20.0,2003.0,25,6,696,7.7,0,2,2,0,0,0,3,1,0.9,0.9,1.1,2.0,37,14,60
230,Lukas Engel,DEN,DF,,Middlesbrough,25.0,1998.0,9,4,368,4.1,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,8,33,45
231,Niall Ennis,ENG,FW,,Stoke City,25.0,1999.0,9,1,195,2.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,0,13
232,Romain Esse,ENG,FW,MF,Millwall,19.0,2005.0,24,24,2018,22.4,4,1,5,4,0,0,4,0,2.2,2.2,4.4,6.6,37,73,121
233,Maxime Estève,FRA,DF,,Burnley,22.0,2002.0,46,46,4055,45.1,1,0,1,1,0,0,3,0,0.9,0.9,0.1,1.0,19,140,2
234,Oscar Estupiñan,COL,FW,,Hull City,27.0,1996.0,2,2,147,1.6,1,0,1,0,1,1,0,0,1.3,0.5,0.0,0.5,0,1,3
235,Ched Evans,WAL,FW,MF,Preston,35.0,1988.0,8,0,102,1.1,0,2,2,0,0,0,0,0,0.9,0.9,0.8,1.8,1,0,14
236,George Evans,ENG,GK,,Millwall,19.0,2005.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
237,Milan van Ewijk,NED,DF,,Coventry City,23.0,2000.0,45,45,4010,44.6,2,2,4,2,0,0,1,0,2.1,2.1,6.0,8.1,99,151,207
238,Malachi Fagan-Walcott,ENG,DF,,Cardiff City,22.0,2002.0,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
239,Akin Famewo,ENG,DF,,Sheffield Weds,25.0,1998.0,13,11,938,10.4,0,1,1,0,0,0,2,0,0.3,0.3,0.1,0.4,1,22,0
240,Lamine Fanne,ESP,MF,FW,Luton Town,20.0,2004.0,12,6,584,6.5,0,0,0,0,0,0,1,0,0.7,0.7,0.3,1.0,4,9,12
241,Jacob Farrell,AUS,DF,,Portsmouth,21.0,2002.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,4
242,Christian Fassnacht,SUI,FW,DF,Norwich City,30.0,1993.0,3,1,82,0.9,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,3,8
243,Tom Fellows,ENG,FW,MF,West Brom,21.0,2003.0,45,35,2872,31.9,4,14,18,4,0,0,4,0,4.3,4.3,7.5,11.8,156,48,321
244,Marselino Ferdinan,IDN,MF,,Oxford United,19.0,2004.0,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
245,Sam Field,ENG,MF,,QPR,26.0,1998.0,35,35,2905,32.3,3,0,3,3,0,0,8,0,3.4,3.4,1.4,4.7,14,78,27
246,Tegan Finn,,MF,,Plymouth Argyle,,,4,1,144,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,8
247,Junior Firpo,DOM,DF,,Leeds United,27.0,1996.0,32,30,2616,29.1,4,10,14,4,0,0,7,0,4.1,4.1,6.6,10.8,66,158,236
248,Will Fish,ENG,DF,,Cardiff City,21.0,2003.0,21,14,1376,15.3,0,0,0,0,0,0,4,0,0.8,0.8,0.2,1.0,4,31,5
249,Kellen Fisher,ENG,DF,MF,Norwich City,20.0,2004.0,38,34,2692,29.9,0,4,4,0,0,0,10,0,1.7,1.7,2.6,4.2,45,98,118
250,Zian Flemming,NED,FW,,Burnley,25.0,1998.0,35,28,2424,26.9,12,4,16,12,0,0,3,0,9.3,9.3,3.6,12.9,19,38,90
251,Tyrese Fornah,SLE,MF,,Derby County,24.0,1999.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
252,Adam Forshaw,ENG,MF,,Plymouth Argyle,32.0,1991.0,16,7,683,7.6,0,0,0,0,0,0,5,1,0.3,0.3,0.1,0.4,4,32,16
253,Adam Forshaw,ENG,MF,,Blackburn,32.0,1991.0,16,5,563,6.3,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.4,3,22,4
254,Amankwah Forson,GHA,MF,FW,Norwich City,21.0,2002.0,21,8,727,8.1,2,2,4,2,0,0,2,0,1.3,1.3,1.3,2.5,11,28,38
255,Marcus Forss,FIN,FW,,Middlesbrough,25.0,1999.0,24,6,666,7.4,1,0,1,1,0,0,1,0,2.4,2.4,1.2,3.6,12,7,55
256,Craig Forsyth,SCO,DF,,Derby County,35.0,1989.0,39,26,2557,28.4,3,4,7,3,0,0,4,0,2.0,2.0,1.6,3.6,21,104,37
257,Gabriel Forsyth,SCO,MF,FW,Norwich City,17.0,2006.0,5,2,163,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,13,6
258,Lyle Foster,RSA,FW,,Burnley,23.0,2000.0,28,17,1590,17.7,2,5,7,2,0,0,4,0,4.4,4.4,2.7,7.1,41,37,103
259,Morgan Fox,WAL,DF,,QPR,30.0,1993.0,26,12,1344,14.9,1,0,1,1,0,0,3,0,0.6,0.6,0.4,0.9,5,29,2
260,Gianluca Frabotta,ITA,DF,,West Brom,25.0,1999.0,6,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,7
261,Gonçalo Franco,POR,MF,,Swansea City,23.0,2000.0,40,39,3141,34.9,2,2,4,2,0,0,6,0,4.2,4.2,2.0,6.2,23,138,82
262,Michael Frey,SUI,FW,,QPR,30.0,1994.0,29,21,1781,19.8,8,1,9,7,1,1,6,0,5.5,4.7,1.2,5.9,11,29,69
263,Dael Fry,ENG,DF,,Middlesbrough,26.0,1997.0,21,15,1416,15.7,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.9,3,37,3
264,Mads Frøkjær-Jensen,DEN,FW,MF,Preston,25.0,1999.0,38,27,2362,26.2,2,5,7,2,0,0,8,0,1.6,1.6,3.9,5.5,52,125,137
265,Leo Fuhr Hjelde,NOR,DF,,Sunderland,20.0,2003.0,15,5,410,4.6,0,1,1,0,0,0,3,0,0.0,0.0,0.2,0.2,3,22,16
266,Jay Fulton,SCO,MF,,Swansea City,30.0,1994.0,31,13,1289,14.3,1,0,1,1,0,0,6,0,1.6,1.6,0.8,2.5,6,51,23
267,Darnell Furlong,ENG,DF,,West Brom,28.0,1995.0,42,42,3706,41.2,1,3,4,1,0,0,8,1,3.0,3.0,4.7,7.7,66,184,136
268,Sam Gallagher,ENG,FW,MF,Stoke City,28.0,1995.0,22,9,1024,11.4,3,1,4,3,0,0,5,0,3.4,3.4,1.2,4.6,8,17,41
269,Brendan Galloway,ZIM,DF,,Plymouth Argyle,28.0,1996.0,13,11,980,10.9,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,10,26,14
270,Ben Gannon-Doak,SCO,FW,,Middlesbrough,18.0,2005.0,24,21,1778,19.8,3,7,10,3,0,0,7,0,4.4,4.4,4.6,8.9,134,56,250
271,Djeidi Gassama,FRA,MF,FW,Sheffield Weds,20.0,2003.0,43,36,2975,33.1,7,1,8,7,0,0,4,0,6.0,6.0,2.5,8.5,107,64,203
272,Joe Gelhardt,ENG,FW,MF,Leeds United,22.0,2002.0,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
273,Joe Gelhardt,ENG,FW,MF,Hull City,22.0,2002.0,20,19,1593,17.7,5,0,5,3,2,2,4,0,5.5,3.9,2.2,6.1,51,46,80
274,Anwar El Ghazi,NED,FW,,Cardiff City,29.0,1995.0,25,14,1175,13.1,3,1,4,3,0,0,0,0,5.2,5.2,1.2,6.3,31,22,98
275,Liam Gibbs,ENG,MF,FW,Norwich City,21.0,2002.0,9,1,212,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,9,5,16
276,Ben Gibson,ENG,DF,,Stoke City,31.0,1993.0,24,22,1946,21.6,3,0,3,3,0,0,6,0,1.1,1.1,0.1,1.1,5,54,2
277,Lewis Gibson,ENG,DF,,Preston,24.0,2000.0,19,19,1634,18.2,1,0,1,1,0,0,2,0,1.3,1.3,0.2,1.5,9,45,7
278,Lewis Gibson,ENG,DF,,Plymouth Argyle,24.0,2000.0,18,18,1620,18.0,1,1,2,1,0,0,1,0,0.9,0.9,0.3,1.2,13,64,1
279,Alexander Gilbert,IRL,MF,,Middlesbrough,22.0,2001.0,7,0,77,0.9,1,0,1,1,0,0,0,0,0.1,0.1,0.3,0.4,1,11,8
280,Alfie Gilchrist,ENG,DF,,Sheffield Utd,20.0,2003.0,30,27,2103,23.4,0,2,2,0,0,0,5,0,0.4,0.4,1.4,1.7,32,120,57
281,Ryan Giles,ENG,DF,,Middlesbrough,24.0,2000.0,12,3,307,3.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,14,8,30
282,Ryan Giles,ENG,DF,,Hull City,24.0,2000.0,16,11,904,10.0,0,0,0,0,0,0,0,0,0.2,0.2,1.3,1.5,34,32,33
283,Josh Ginnelly,ENG,FW,,Swansea City,27.0,1997.0,3,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,1,8
284,Tom Glover,AUS,GK,,Middlesbrough,26.0,1997.0,7,6,571,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,0,0
285,Wilfried Gnonto,ITA,FW,,Leeds United,20.0,2003.0,43,26,2276,25.3,9,6,15,9,0,0,5,0,8.3,8.3,5.7,13.9,83,124,240
286,Lynden Gooch,USA,DF,FW,Stoke City,28.0,1995.0,20,12,1038,11.5,0,1,1,0,0,0,3,0,0.2,0.2,0.8,1.1,22,39,32
287,Tyler Goodhram,ENG,MF,FW,Oxford United,20.0,2003.0,41,33,3052,33.9,3,6,9,3,0,0,5,0,2.6,2.6,3.2,5.8,53,80,121
288,Will Goodwin,ENG,FW,MF,Oxford United,22.0,2002.0,3,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,0,0,1
289,Kaide Gordon,ENG,FW,MF,Norwich City,19.0,2004.0,10,1,181,2.0,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,6,10,12
290,Kaide Gordon,ENG,FW,MF,Portsmouth,19.0,2004.0,5,0,154,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,5,13
291,Kenzo Goudmijn,NED,MF,,Derby County,22.0,2001.0,41,29,2321,25.8,2,2,4,2,0,0,4,0,2.3,2.3,1.8,4.1,51,140,68
292,Dimitris Goutas,GRE,DF,,Cardiff City,30.0,1994.0,34,33,2919,32.4,1,1,2,1,0,0,3,1,1.3,1.3,1.3,2.6,3,76,4
293,Karlan Grant,ENG,FW,MF,West Brom,26.0,1997.0,43,34,2930,32.6,7,2,9,7,0,0,2,0,7.0,7.0,5.5,12.4,126,71,242
294,Andre Gray,JAM,FW,,Plymouth Argyle,33.0,1991.0,13,5,550,6.1,3,1,4,3,0,0,1,0,0.6,0.6,0.5,1.1,3,11,20
295,Harry Gray,ENG,MF,,Leeds United,15.0,2008.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
296,Sam Greenwood,ENG,FW,MF,Preston,22.0,2002.0,38,29,2427,27.0,5,3,8,3,2,2,9,2,6.2,4.6,6.1,10.7,62,62,152
297,Joshua Griffiths,ENG,GK,,West Brom,22.0,2001.0,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
298,Matt Grimes,ENG,MF,,Coventry City,29.0,1995.0,16,15,1366,15.2,2,1,3,2,0,0,4,0,0.8,0.8,1.3,2.1,12,97,12
299,Matt Grimes,ENG,MF,,Swansea City,29.0,1995.0,29,29,2610,29.0,2,1,3,1,1,1,4,0,1.6,0.8,3.3,4.0,36,254,24
300,Daniel Grimshaw,ENG,GK,,Plymouth Argyle,26.0,1998.0,21,21,1890,21.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0
301,Ilia Gruev,BUL,MF,,Leeds United,24.0,2000.0,23,20,1699,18.9,0,2,2,0,0,0,3,0,1.3,1.3,2.4,3.8,17,102,22
302,Makhtar Gueye,SEN,FW,,Blackburn,26.0,1997.0,44,23,2193,24.4,6,6,12,6,0,0,10,1,7.0,7.0,2.4,9.4,28,37,104
303,Josuha Guilavogui,FRA,MF,DF,Leeds United,33.0,1990.0,16,0,65,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,11,2
304,Angus Gunn,SCO,GK,,Norwich City,28.0,1996.0,35,35,3104,34.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
305,Darko Gyabi,ENG,MF,,Plymouth Argyle,20.0,2004.0,43,34,2841,31.6,1,2,3,1,0,0,10,0,3.0,3.0,1.4,4.4,55,114,46
306,Hayden Hackney,ENG,MF,,Middlesbrough,22.0,2002.0,43,43,3792,42.1,5,3,8,5,0,0,9,1,4.2,4.2,4.9,9.0,118,440,95
307,Rami Al Hajj,SWE,MF,,Plymouth Argyle,22.0,2001.0,28,18,1374,15.3,3,0,3,3,0,0,1,0,1.8,1.8,0.9,2.8,16,50,61
308,Ali Al Hamadi,IRQ,FW,,Stoke City,22.0,2002.0,15,11,829,9.2,2,0,2,2,0,0,2,0,2.7,2.7,0.6,3.3,18,10,46
309,Gustavo Hamer,NED,FW,MF,Sheffield Utd,27.0,1997.0,41,36,3124,34.7,9,7,16,9,0,0,13,0,5.9,5.8,9.3,15.1,56,223,166
310,Micah Hamilton,ENG,FW,,Middlesbrough,20.0,2003.0,13,2,316,3.5,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,21,22,39
311,Grant Hanley,SCO,DF,,Norwich City,32.0,1991.0,3,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
312,Ryan Hardie,SCO,FW,MF,Plymouth Argyle,27.0,1997.0,37,28,2265,25.2,10,3,13,7,3,3,0,0,12.1,9.9,1.6,11.5,27,19,96
313,Wes Harding,JAM,DF,,Millwall,27.0,1996.0,5,2,193,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,4,11
314,Marcus Harness,ENG,MF,FW,Derby County,28.0,1996.0,41,26,2356,26.2,4,3,7,4,0,0,11,0,3.8,3.8,1.9,5.7,26,81,111
315,Mark Harris,WAL,FW,,Oxford United,25.0,1998.0,46,34,2893,32.1,6,3,9,6,0,0,3,0,7.4,7.4,1.1,8.5,19,22,102
316,Daiki Hashioka,JPN,DF,,Luton Town,25.0,1999.0,17,12,1204,13.4,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.9,9,23,27
317,Joseph Hatch,WAL,MF,,Plymouth Argyle,17.0,2006.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
318,Ryo Hatsuse,JPN,DF,MF,Sheffield Weds,27.0,1997.0,6,5,348,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,10,10,11
319,Isaac Hayden,JAM,MF,,Portsmouth,29.0,1995.0,17,12,936,10.4,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,2,22,19
320,Conor Hazard,NIR,GK,,Plymouth Argyle,26.0,1998.0,25,25,2250,25.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0
321,Ryan Hedges,WAL,FW,,Blackburn,29.0,1995.0,42,33,2561,28.5,1,2,3,1,0,0,4,0,2.8,2.8,2.7,5.5,77,98,176
322,Torbjørn Heggem,NOR,DF,,West Brom,25.0,1999.0,45,45,4010,44.6,1,2,3,1,0,0,3,0,2.0,2.0,1.5,3.6,26,98,46
323,Michał Helik,POL,DF,,Oxford United,28.0,1995.0,20,20,1800,20.0,5,0,5,5,0,0,4,0,3.1,3.1,0.5,3.5,3,24,8
324,Onel Hernández,CUB,FW,MF,Norwich City,31.0,1993.0,23,5,639,7.1,0,3,3,0,0,0,2,0,0.8,0.8,1.0,1.8,41,13,88
325,Brad Hills,ENG,DF,,Norwich City,20.0,2004.0,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
326,Yu Hirakawa,JPN,FW,MF,Bristol City,23.0,2001.0,36,17,1657,18.4,2,2,4,2,0,0,0,0,2.5,2.5,2.1,4.5,72,57,186
327,Václav Hladký,CZE,GK,,Burnley,33.0,1990.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
328,Rob Holding,ENG,DF,,Sheffield Utd,28.0,1995.0,10,4,420,4.7,0,1,1,0,0,0,1,0,0.3,0.3,0.7,1.0,0,20,1
329,Mason Holgate,JAM,DF,,West Brom,27.0,1996.0,26,21,1983,22.0,1,1,2,1,0,0,2,0,1.1,1.1,1.2,2.2,5,47,6
330,Duane Holmes,USA,MF,FW,Preston,29.0,1994.0,29,6,835,9.3,1,1,2,1,0,0,4,0,0.3,0.3,1.9,2.3,31,49,46
331,Tom Holmes,ENG,DF,,Luton Town,24.0,2000.0,18,15,1316,14.6,1,1,2,1,0,0,4,1,0.7,0.7,0.9,1.6,1,48,7
332,George Honeyman,ENG,MF,FW,Millwall,29.0,1994.0,40,28,2422,26.9,2,5,7,2,0,0,7,0,3.7,3.7,4.5,8.2,17,70,117
333,Ethan Horvath,USA,GK,,Cardiff City,29.0,1995.0,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
334,Jordan Houghton,ENG,MF,,Plymouth Argyle,28.0,1995.0,30,15,1526,17.0,0,0,0,0,0,0,2,0,0.5,0.5,0.2,0.7,3,30,11
335,Andreas Hountondji,BEN,FW,MF,Burnley,22.0,2002.0,9,2,209,2.3,0,0,0,0,0,0,0,0,0.9,0.9,0.0,0.9,3,2,10
336,Jonny Howson,ENG,DF,MF,Middlesbrough,36.0,1988.0,21,15,1396,15.5,1,0,1,1,0,0,0,0,0.3,0.3,0.6,0.8,16,93,16
337,Andrew Hughes,WAL,DF,,Preston,32.0,1992.0,40,36,3236,36.0,0,1,1,0,0,0,8,0,0.5,0.5,1.0,1.6,42,121,54
338,Charlie Hughes,ENG,DF,,Hull City,20.0,2003.0,27,26,2345,26.1,1,1,2,1,0,0,9,0,0.5,0.5,0.5,1.0,23,92,4
339,Trai Hume,NIR,DF,,Sunderland,22.0,2002.0,44,43,3810,42.3,3,6,9,3,0,0,11,1,2.0,2.0,6.8,8.9,63,217,138
340,Bashir Humphreys,ENG,DF,,Burnley,21.0,2003.0,25,20,1777,19.7,1,2,3,1,0,0,3,1,0.6,0.6,0.9,1.5,36,87,55
