Rk,player_name,nation,position_1,position_2,Squad,Age,Born,matches_played,starts,minutes_played,90s_played,goals,assists,goal_contributions,non_penalty_goals,penalty_goals,penalty_attempts,yellow_cards,red_cards,expected_goals,expected_non_pen_goals,expected_assists,expected_non_pen_goal_contributions,progressive_carries,progressive_passes,progressive_passes_received
51,Barry Bannan,SCO,MF,,Sheffield Weds,34.0,1989.0,41,40,3461,38.5,4,5,9,4,0,0,7,0,2.6,2.6,6.5,9.1,40,324,61
52,Jamal Baptiste,ENG,DF,,Sheffield Utd,20.0,2003.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
53,Shandon Baptiste,GRN,MF,,Luton Town,26.0,1998.0,16,7,717,8.0,1,0,1,1,0,0,2,0,0.9,0.9,1.5,2.4,9,34,16
54,Tom Barkhuizen,ENG,FW,MF,Derby County,31.0,1993.0,19,2,404,4.5,0,0,0,0,0,0,2,0,0.7,0.7,0.2,0.8,13,8,33
55,Daniel Barlaser,TUR,MF,,Middlesbrough,27.0,1997.0,23,12,1155,12.8,1,1,2,1,0,0,2,0,0.3,0.3,2.4,2.7,11,83,22
56,Ashley Barnes,ENG,FW,MF,Norwich City,34.0,1989.0,8,1,173,1.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,8,6
57,Ashley Barnes,ENG,FW,MF,Burnley,34.0,1989.0,13,1,134,1.5,1,1,2,1,0,0,1,0,0.9,0.9,0.3,1.2,1,3,5
58,Louie Barry,ENG,FW,MF,Hull City,21.0,2003.0,4,2,165,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,7,3,14
59,Kyle Bartley,ENG,DF,,West Brom,33.0,1991.0,31,30,2610,29.0,0,0,0,0,0,0,5,1,1.9,1.9,1.0,2.9,7,66,3
60,Norman Bassette,BEL,FW,,Coventry City,19.0,2004.0,25,11,907,10.1,2,0,2,2,0,0,5,0,4.9,4.9,0.2,5.1,11,6,46
61,Danny Batth,ENG,DF,,Blackburn,33.0,1990.0,37,34,3009,33.4,2,0,2,2,0,0,5,0,2.1,2.1,0.8,2.9,4,59,6
62,Patrick Bauer,GER,DF,,Preston,31.0,1992.0,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
63,Vakoun Bayo,CIV,FW,,Watford,27.0,1997.0,41,25,2242,24.9,10,0,10,9,1,1,5,1,13.1,12.3,0.8,13.1,19,22,97
64,James Beadle,ENG,GK,,Sheffield Weds,20.0,2004.0,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0
65,Owen Beck,WAL,DF,FW,Blackburn,21.0,2002.0,24,21,1874,20.8,1,0,1,1,0,0,3,1,1.1,1.1,1.4,2.6,32,37,62
66,Chris Bedia,CIV,FW,,Hull City,28.0,1996.0,21,9,921,10.2,3,0,3,2,1,1,0,0,4.7,4.0,0.7,4.6,6,9,29
67,Amari'i Bell,JAM,DF,,Luton Town,30.0,1994.0,31,31,2706,30.1,0,0,0,0,0,0,1,0,0.2,0.2,0.8,1.0,39,141,37
68,Sam Bell,ENG,FW,DF,Bristol City,22.0,2002.0,20,0,440,4.9,0,0,0,0,0,0,0,0,1.6,1.6,0.5,2.1,8,6,58
69,Jobe Bellingham,ENG,MF,,Sunderland,18.0,2005.0,40,39,3507,39.0,4,3,7,4,0,0,10,1,3.0,3.0,2.9,5.9,52,193,103
70,Bachir Belloumi,ALG,FW,MF,Hull City,22.0,2002.0,10,10,815,9.1,2,2,4,2,0,0,1,0,2.4,2.4,2.3,4.6,36,42,99
71,Anis Ben Slimane,TUN,MF,,Norwich City,23.0,2001.0,33,25,2091,23.2,2,2,4,2,0,0,6,0,2.1,2.1,2.7,4.8,29,90,76
72,Anis Ben Slimane,TUN,MF,,Sheffield Utd,23.0,2001.0,3,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,2,6
73,Joe Bennett,ENG,DF,,Oxford United,34.0,1990.0,12,8,744,8.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,21,6
74,Daniel Bennie,AUS,FW,MF,QPR,18.0,2006.0,12,1,216,2.4,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,9,10
75,Jóhann Berg Guðmundsson,ISL,MF,,Burnley,33.0,1990.0,1,0,16,0.2,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0
76,Di'Shon Bernard,JAM,DF,,Sheffield Weds,23.0,2000.0,27,26,2235,24.8,2,0,2,2,0,0,9,2,2.0,2.0,0.4,2.4,5,57,7
77,Kian Best,ENG,DF,,Preston,18.0,2005.0,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
78,Florian Bianchini,FRA,FW,,Swansea City,23.0,2001.0,36,8,1103,12.3,3,0,3,3,0,0,2,0,4.4,4.4,1.1,5.5,12,17,55
79,Jake Bidwell,ENG,DF,,Coventry City,31.0,1993.0,29,23,2062,22.9,1,1,2,1,0,0,5,0,1.0,0.9,2.0,2.8,35,120,132
80,Luis Binks,ENG,DF,,Coventry City,22.0,2001.0,22,21,1852,20.6,0,1,1,0,0,0,7,0,0.8,0.8,1.1,1.8,26,102,6
